pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
0;W;1;1;1;SUKCHAROEN Thunya;21.04.1997;THA;45;44.77;77;80;---;80;96;100;106;106;186;2018 IWF World Championships;11.2018
1;W;2;3;2;DZHUMABAYEVA Yulduz;22.04.1998;TKM;45;44.90;75;---;---;75;94;104;---;104;179;2018 IWF World Championships;11.2018
2;W;3;2;3;NANTHAWONG Chiraphan;17.08.1999;THA;45;44.47;76;---;---;76;95;---;---;95;171;2018 IWF World Championships;11.2018
3;W;4;6;4;ECHANDIA ZARATE Katherin Oriana;14.08.2001;VEN;45;44.97;67;---;---;67;86;90;---;90;157;2018 IWF World Championships;11.2018
4;W;5;4;5;PAGLIARO Alessandra;16.07.1997;ITA;45;43.22;70;---;---;70;82;84;86;86;156;2018 IWF World Championships;11.2018
5;W;6;5;7;NGUYEN Thi Thu Trang;03.06.2003;VIE;45;44.93;70;---;---;70;78;81;---;81;151;2018 IWF World Championships;11.2018
6;W;7;7;6;PANDOVA Daniela Ivanova;16.09.1994;BUL;45;45.00;---;55;60;60;75;81;---;81;141;2018 IWF World Championships;11.2018
7;W;1;4;1;PRAMONGKHOL Chayuttra;29.11.1994;THA;49;48.23;84;86;89;89;115;120;---;120;209;2018 IWF World Championships;11.2018
8;W;2;2;2;HOU Zhihui;18.03.1997;CHN;49;48.46;88;---;93;93;108;112;115;115;208;2018 IWF World Championships;11.2018
9;W;3;3;3;JIANG Huihua;22.01.1998;CHN;49;48.95;87;90;92;92;---;108;114;114;206;2018 IWF World Championships;11.2018
10;W;4;1;4;TANASAN Sopita;23.12.1994;THA;49;48.83;86;89;93;93;102;108;---;108;201;2018 IWF World Championships;11.2018
11;W;5;9;5;ANDRIES Elena-Ramona;21.09.1994;ROU;49;48.53;---;83;---;83;100;---;105;105;188;2018 IWF World Championships;11.2018
12;W;6;5;7;PIRON CANDELARIO Beatriz Elizabeth;27.02.1995;DOM;49;48.98;81;---;84;84;100;103;---;103;187;2018 IWF World Championships;11.2018
13;W;7;10;6;AGUSTIANI Sri Wahyuni;13.08.1994;INA;49;48.69;82;---;---;82;---;104;---;104;186;2018 IWF World Championships;11.2018
14;W;8;8;11;VUONG Thi Huyen;22.06.1992;VIE;49;48.72;83;---;---;83;---;---;100;100;183;2018 IWF World Championships;11.2018
15;W;9;12;9;MIYAKE Hiromi;18.11.1985;JPN;49;48.86;77;79;---;79;102;---;---;102;181;2018 IWF World Championships;11.2018
